Elapsed time;/;/?SHOPPING_ID;/best-sellers;/buy-confirm;/buy?RETURNING_FLAG=N;/buy?RETURNING_FLAG=Y;/customer-registration?SHOPPING_ID=;/new-products;/order-inquiry;/product-detail;/search;/search?C_ID;/search?searchField=&keyword=&C_ID=;/shopping-cart?ADD_FLAG=N;/shopping-cart?I_ID=&QTY=1&ADD_FLAG=Y
19:16:08,500;13.0;;;;;;;11.5;;9.0;;;;;
19:16:09,0;16.0;;;;;;;;;10.0;;;;;14.0
19:16:09,500;15.0;5.0;;;;;;12.0;2.0;13.0;3.0;4.0;4.0;;
19:16:10,0;16.5;;;;3.0;;;;;;;;;;
19:16:10,500;14.0;;;;;;;13.0;;9.0;5.5;;3.0;21.0;
19:16:11,0;14.0;;;;;;;;;8.0;;;3.0;;
19:16:11,500;13.5;;140.0;;;;1.0;12.0;;11.0;3.5;;;;
19:16:12,0;16.0;;;;;;;;2.0;;;;3.0;;
19:16:12,500;11.0;4.5;140.0;;;;;11.0;;;3.5;;3.5;20.0;
19:16:13,0;16.0;;;;;;;;;8.5;;;;;
19:16:13,500;12.333333333333334;5.0;140.0;;;;;10.0;;7.0;4.0;3.0;4.0;;
19:16:14,0;23.0;;;;;;;;;8.0;3.0;;3.0;;
19:16:14,500;12.0;4.0;138.0;;;;;;;8.0;3.0;4.0;4.0;;
19:16:15,0;20.0;;;;;;;11.0;;;3.0;3.5;;;
19:16:15,500;11.0;4.0;;;;;;10.0;;8.0;3.5;3.0;;;
19:16:16,0;15.0;;;;;;;11.0;;;;3.0;;;
19:16:16,500;12.0;4.0;135.0;;;;;11.0;;7.0;3.0;;5.0;20.0;
19:16:17,0;37.0;;;;2.0;;;11.0;;9.0;;;;;
19:16:17,500;12.0;5.0;140.0;;;;;11.0;;7.0;4.0;;;;
19:16:18,0;15.0;;;;;;;;;8.0;;;3.0;;
19:16:18,500;12.333333333333334;;139.5;;2.0;2.0;;;;7.5;;4.0;;20.0;
19:16:19,0;13.0;;;;;;;;;;3.0;;;;
19:16:19,500;13.666666666666666;;;;;;;;;;3.0;;3.0;21.0;
19:16:20,0;13.333333333333334;;;;;;;;;7.0;;;;;
19:16:20,500;12.0;4.0;;;2.0;;;10.0;1.0;;3.0;4.0;4.0;20.0;14.0
19:16:21,0;13.333333333333334;;;;;;;;;12.0;3.0;;;;
19:16:21,500;12.0;;143.0;;;;;;;10.0;3.6666666666666665;;5.0;;
19:16:22,0;14.0;;;;;;;;;8.0;;;;19.0;
19:16:22,500;13.0;;141.0;;;;;11.0;;7.666666666666667;;;5.0;;
19:16:23,0;14.5;;;;3.0;;;;;;4.0;;;;
19:16:23,500;12.0;4.0;;;;;;10.5;0.0;8.0;3.0;4.0;;;
19:16:24,0;13.0;;;;;;;;;;;;;;
19:16:24,500;13.0;;;;;;;18.0;;9.0;;3.5;3.0;38.0;
19:16:25,0;13.5;;;;;;;;;8.0;;;;;
19:16:25,500;12.0;;139.0;2.0;;;;10.5;;9.0;4.0;4.0;3.0;;
19:16:26,0;14.0;;;;;;;;;9.0;3.0;;;;
19:16:26,500;12.5;5.0;139.0;;;;;;;7.333333333333333;3.5;;;;
19:16:27,0;17.0;;;;;;;;;7.0;;3.0;7.0;;
19:16:27,500;11.8;4.666666666666667;;;;;;;;9.0;;4.0;5.0;;
19:16:28,0;15.0;;141.0;;2.0;;;;;;3.0;;;;
19:16:28,500;15.0;5.0;141.0;;;;;10.0;;9.333333333333334;;4.0;4.0;;
19:16:29,0;15.0;;143.0;;;;;;;7.0;;;4.0;;
19:16:29,500;12.0;;;;3.0;;;10.0;;10.0;3.0;3.0;3.0;25.0;
19:16:30,0;15.0;;;;;;;;;12.0;;;2.0;;
19:16:30,500;;3.0;164.5;;;;;;2.0;9.75;3.0;3.0;;;
19:16:31,0;15.0;;136.0;;;;;;;;4.0;;;;
19:16:31,500;;;150.33333333333334;;;;;11.0;1.0;8.0;4.0;4.0;3.0;19.0;
19:16:32,0;15.0;;;;;;;;;;;;4.0;;
19:16:32,500;12.0;;138.0;;;;;;2.0;8.666666666666666;;3.0;4.0;;14.0
19:16:33,0;16.0;;;;;;;;;;2.5;3.0;;;
19:16:33,500;11.333333333333334;;148.5;;;;;;;8.0;5.0;3.0;3.5;;
19:16:34,0;13.0;;;;;;;9.0;;;4.0;;;;
19:16:34,500;;4.0;137.0;;2.0;;;10.0;;10.0;3.0;3.0;3.0;21.0;
19:16:35,0;16.0;4.0;;;;;;;;;;4.0;;;
19:16:35,500;11.0;;;;;;;10.5;;7.25;3.0;3.5;;;
19:16:36,0;13.5;;;;;;;;;7.0;;3.0;;;
19:16:36,500;11.666666666666666;4.0;;;;;;10.25;1.0;10.0;;4.0;;20.0;
19:16:37,0;14.0;;;;;;;;;7.0;3.0;;3.0;;
